work_order_id,tenant_id,property_id,unit_number,trade,urgency,status,description,created_at,resolved_at,resolution_hours,assigned_vendor,predicted_trade,predicted_urgency,ai_confidence,trade_match,urgency_match
WO00548,T0251,P030,10,plumbing,medium,resolved,Garbage disposal jammed and won't turn on,2025-03-08 13:00,2025-03-15 04:53,159.9,V023,plumbing,medium,0.9,true,true
WO00549,T0113,P012,9,electrical,medium,resolved,Circuit breaker keeps tripping for bedroom circuit,2024-09-24 17:00,2024-10-02 05:10,180.2,V007,electrical,high,0.95,true,false
WO00550,T0428,P038,80,HVAC,medium,resolved,Loud banging noise every time heat kicks on,2024-07-26 14:00,2024-07-30 14:15,96.3,V006,HVAC,medium,0.9,true,true
WO00551,T0356,P030,8,electrical,high,resolved,"Power went out in half the unit, breaker won't reset",2025-03-05 17:00,2025-03-06 23:57,31.0,V007,electrical,emergency,0.98,true,false
WO00552,T0013,P020,31,plumbing,emergency,open,"Shower drain completely clogged, water backing up",2025-05-15 08:00,,,,plumbing,high,0.95,true,false
WO00553,T0035,P049,57,electrical,medium,open,Ceiling fan making humming noise and spinning slowly,2025-05-05 13:00,,,,electrical,low,0.85,true,false
WO00554,T0006,P038,148,electrical,medium,resolved,Flickering lights throughout the apartment,2025-01-06 16:00,2025-01-13 19:04,171.1,V030,electrical,high,0.9,true,false
WO00555,T0326,P006,6,plumbing,medium,resolved,"Bathtub faucet handle broken off, can't turn water off",2024-11-11 12:00,2024-11-14 17:12,77.2,V023,plumbing,emergency,0.95,true,false
WO00556,T0441,P032,70,general,low,resolved,"Cabinet hinge in kitchen broken, door hanging loose",2025-05-19 16:00,2025-06-04 08:23,376.4,V021,general,low,0.95,true,true
WO00557,T0486,P002,13,general,low,resolved,Garage door opener stopped responding to remote,2024-07-15 14:00,2024-07-26 02:43,252.7,V005,electrical,low,0.85,false,true
WO00558,T0043,P021,80,HVAC,medium,resolved,"Heater blowing cold air, thermostat set to 72",2025-01-19 13:00,2025-01-27 18:50,197.8,V011,HVAC,high,0.9,true,false
WO00559,T0310,P016,86,general,emergency,in-progress,Garage door opener stopped responding to remote,2024-09-19 16:00,,,V022,electrical,low,0.85,false,false
WO00560,T0049,P012,164,plumbing,medium,resolved,"Kitchen faucet dripping nonstop, water pooling under the sink",2025-02-15 14:00,2025-02-19 01:36,83.6,V003,plumbing,high,0.9,true,false
WO00561,T0238,P038,143,electrical,medium,resolved,Dryer outlet not providing power,2025-05-01 18:00,2025-05-05 02:11,80.2,V002,electrical,medium,0.95,true,true
WO00562,T0358,P043,30,general,high,resolved,"Patio door off track, won't slide properly",2024-06-21 11:00,2024-06-24 06:16,67.3,V022,general,low,0.98,true,false
WO00563,T0057,P031,50,HVAC,low,open,AC unit leaking water onto the floor,2025-02-04 10:00,,,,HVAC,high,0.95,true,false
WO00564,T0003,P040,65,general,low,resolved,"Patio door off track, won't slide properly",2024-12-10 07:00,2024-12-21 12:33,269.6,V016,general,low,0.98,true,true
WO00565,T0175,P031,69,general,high,resolved,"Window seal broken, condensation between panes",2024-07-22 09:00,2024-07-23 19:01,34.0,V005,general,low,0.9,true,false
WO00566,T0225,P022,29,general,medium,resolved,"Front door lock sticking, key requires extreme force",2025-05-29 15:00,2025-06-07 21:48,222.8,V021,general,medium,0.85,true,true
WO00567,T0326,P006,6,plumbing,medium,open,Low water pressure throughout entire unit,2025-03-13 18:00,,,,plumbing,medium,0.9,true,true
WO00568,T0217,P029,145,plumbing,emergency,in-progress,Garbage disposal jammed and won't turn on,2025-01-30 13:00,,,V028,plumbing,medium,0.9,true,false
WO00569,T0471,P022,135,HVAC,low,resolved,"Heater blowing cold air, thermostat set to 72",2024-06-13 09:00,2024-06-21 14:01,197.0,V011,HVAC,high,0.95,true,false
WO00570,T0341,P040,158,HVAC,medium,resolved,Strange burning smell coming from air vents,2025-03-13 11:00,2025-03-19 19:17,152.3,V011,HVAC,emergency,0.98,true,false
WO00571,T0299,P012,11,general,high,open,"Hole in drywall in hallway, about the size of a fist",2024-08-15 11:00,,,,general,low,0.95,true,false
WO00572,T0069,P032,126,general,emergency,open,"Front door lock sticking, key requires extreme force",2024-07-28 15:00,,,,general,medium,0.85,true,false
WO00573,T0341,P040,158,electrical,medium,open,"Two light switches not working, bulbs already replaced",2024-11-11 10:00,,,,electrical,medium,0.9,true,true
WO00574,T0441,P032,70,general,low,in-progress,Garage door opener stopped responding to remote,2025-01-31 14:00,,,V016,general,low,0.85,true,true
WO00575,T0051,P050,62,HVAC,medium,resolved,Loud banging noise every time heat kicks on,2024-07-07 09:00,2024-07-15 01:04,184.1,V020,HVAC,medium,0.9,true,true
WO00576,T0075,P009,96,plumbing,medium,resolved,"Toilet won't stop running, sounds like it's constantly refilling",2025-03-17 09:00,2025-03-22 02:30,113.5,V023,plumbing,medium,0.95,true,true
WO00577,T0430,P016,69,electrical,low,resolved,Smoke detector chirping every 30 seconds,2024-07-01 19:00,2024-07-14 20:06,313.1,V008,electrical,high,0.9,true,false
WO00578,T0400,P022,95,general,emergency,resolved,Mold spots appearing on bathroom ceiling near vent,2024-12-18 14:00,2024-12-19 05:29,15.5,V016,general,high,0.9,true,false
WO00579,T0384,P040,15,HVAC,medium,resolved,Loud banging noise every time heat kicks on,2024-12-26 17:00,2025-01-04 19:28,218.5,V011,HVAC,medium,0.9,true,true
WO00580,T0124,P002,10,electrical,medium,open,Light fixture in bathroom buzzing loudly,2024-06-16 13:00,,,,electrical,medium,0.85,true,true
WO00581,T0034,P014,141,plumbing,medium,resolved,"Kitchen faucet dripping nonstop, water pooling under the sink",2024-12-07 11:00,2024-12-13 05:04,138.1,V023,plumbing,high,0.95,true,false
WO00582,T0333,P014,153,electrical,medium,resolved,Ceiling fan making humming noise and spinning slowly,2024-11-05 20:00,2024-11-15 11:20,231.3,V030,electrical,low,0.9,true,false
WO00583,T0198,P027,8,HVAC,medium,open,AC unit leaking water onto the floor,2024-11-23 15:00,,,,HVAC,high,0.95,true,false
WO00584,T0265,P022,139,plumbing,high,in-progress,"Pipe under bathroom vanity is leaking, cabinet floor is wet",2024-10-26 16:00,,,V028,plumbing,high,0.95,true,true
WO00585,T0117,P014,49,electrical,low,in-progress,"Power went out in half the unit, breaker won't reset",2025-03-17 10:00,,,V008,electrical,emergency,0.98,true,false
WO00586,T0498,P037,93,electrical,high,in-progress,Smoke detector chirping every 30 seconds,2024-10-21 11:00,,,V030,electrical,medium,0.9,true,false
WO00587,T0343,P049,11,HVAC,low,resolved,"HVAC filter clogged, air quality seems poor",2025-05-19 11:00,2025-05-29 02:49,231.8,V013,HVAC,low,0.9,true,true
WO00588,T0365,P010,57,electrical,high,resolved,Dryer outlet not providing power,2024-08-28 08:00,2024-08-31 12:10,76.2,V008,electrical,medium,0.9,true,false
WO00589,T0327,P005,8,HVAC,high,resolved,Strange burning smell coming from air vents,2024-09-02 17:00,2024-09-06 03:17,82.3,V013,HVAC,emergency,0.95,true,false
WO00590,T0126,P018,40,general,medium,in-progress,"Intercom/doorbell not working, can't hear buzzer",2025-01-22 15:00,,,V021,electrical,low,0.85,false,false
WO00591,T0075,P009,96,electrical,medium,in-progress,Smoke detector chirping every 30 seconds,2025-03-09 13:00,,,V002,electrical,medium,0.9,true,true
WO00592,T0035,P049,57,HVAC,low,in-progress,AC unit leaking water onto the floor,2025-01-19 15:00,,,V020,HVAC,high,0.95,true,false
WO00593,T0421,P012,81,electrical,medium,resolved,Flickering lights throughout the apartment,2024-06-27 13:00,2024-07-04 22:31,177.5,V030,electrical,high,0.92,true,false
WO00594,T0305,P029,55,plumbing,medium,resolved,"Toilet won't stop running, sounds like it's constantly refilling",2024-08-11 09:00,2024-08-15 05:38,92.6,V001,plumbing,medium,0.9,true,true
WO00595,T0022,P026,3,plumbing,high,resolved,"Pipe under bathroom vanity is leaking, cabinet floor is wet",2024-08-05 19:00,2024-08-07 01:54,30.9,V023,plumbing,high,0.95,true,true
WO00596,T0105,P032,12,plumbing,low,resolved,"Kitchen faucet dripping nonstop, water pooling under the sink",2024-07-28 12:00,2024-08-18 04:13,496.2,V017,plumbing,high,0.95,true,false
WO00597,T0146,P025,58,general,high,in-progress,"Intercom/doorbell not working, can't hear buzzer",2025-03-20 19:00,,,V021,electrical,low,0.85,false,false
WO00598,T0476,P039,12,electrical,low,in-progress,Dryer outlet not providing power,2025-03-27 12:00,,,V007,electrical,medium,0.9,true,false
WO00599,T0088,P032,50,general,high,resolved,"Patio door off track, won't slide properly",2024-07-17 16:00,2024-07-20 21:18,77.3,V021,general,medium,0.9,true,false
WO00600,T0415,P028,46,general,high,in-progress,"Cabinet hinge in kitchen broken, door hanging loose",2024-09-22 10:00,,,V022,general,low,0.95,true,false
WO00601,T0313,P012,118,HVAC,low,resolved,"Furnace won't ignite, no heat in unit",2024-07-25 07:00,2024-08-04 15:13,248.2,V013,HVAC,emergency,0.98,true,false
WO00602,T0223,P012,72,general,medium,in-progress,"Window seal broken, condensation between panes",2024-12-27 18:00,,,V022,general,low,0.95,true,false
WO00603,T0227,P014,136,HVAC,medium,resolved,Vents blowing hot air when AC is set to cool,2024-12-12 07:00,2024-12-19 01:55,162.9,V013,HVAC,high,0.95,true,false
WO00604,T0106,P009,27,general,medium,resolved,Mold spots appearing on bathroom ceiling near vent,2024-11-12 07:00,2024-11-18 18:50,155.8,V022,general,high,0.92,true,false
WO00605,T0430,P016,69,general,medium,resolved,"Window seal broken, condensation between panes",2025-04-04 20:00,2025-04-12 17:25,189.4,V022,general,low,0.95,true,false
WO00606,T0087,P012,13,general,high,in-progress,"Cabinet hinge in kitchen broken, door hanging loose",2024-10-19 10:00,,,V021,general,low,0.98,true,false
WO00607,T0461,P032,55,HVAC,medium,resolved,"AC unit making grinding noise, unit is 85 degrees",2025-05-18 16:00,2025-05-23 09:00,113.0,V006,HVAC,emergency,0.96,true,false
WO00608,T0232,P050,41,plumbing,medium,in-progress,Low water pressure throughout entire unit,2024-06-11 14:00,,,V023,plumbing,high,0.94,true,false
WO00609,T0371,P010,5,general,low,open,"Bedroom closet door won't close, keeps swinging open",2024-11-26 10:00,,,,general,low,0.97,true,true
WO00610,T0138,P016,100,electrical,low,in-progress,"Two light switches not working, bulbs already replaced",2024-08-26 10:00,,,V007,electrical,medium,0.95,true,false
WO00611,T0434,P016,25,plumbing,low,resolved,"Hot water heater making popping sounds, no hot water",2024-07-17 18:00,2024-08-06 13:43,475.7,V001,plumbing,emergency,0.97,true,false
WO00612,T0316,P038,42,plumbing,high,resolved,"Pipe under bathroom vanity is leaking, cabinet floor is wet",2025-01-18 09:00,2025-01-20 06:06,45.1,V023,plumbing,high,0.98,true,true
WO00613,T0143,P050,77,HVAC,high,in-progress,Loud banging noise every time heat kicks on,2024-07-05 10:00,,,V006,HVAC,medium,0.92,true,false
WO00614,T0318,P028,45,plumbing,medium,resolved,"Shower drain completely clogged, water backing up",2024-10-26 15:00,2024-11-01 22:00,151.0,V023,plumbing,high,0.96,true,false
WO00615,T0459,P049,38,HVAC,high,resolved,AC not cooling below 78 even on max setting,2025-04-05 18:00,2025-04-06 23:32,29.5,V006,HVAC,medium,0.94,true,false
WO00616,T0138,P016,100,HVAC,medium,resolved,Loud banging noise every time heat kicks on,2024-12-06 18:00,2024-12-11 00:03,102.1,V020,HVAC,medium,0.92,true,true
WO00617,T0478,P007,177,HVAC,high,open,"HVAC filter clogged, air quality seems poor",2024-10-18 15:00,,,,HVAC,low,0.96,true,false
WO00618,T0417,P004,9,plumbing,medium,resolved,Low water pressure throughout entire unit,2024-08-09 09:00,2024-08-12 17:07,80.1,V003,plumbing,high,0.94,true,false
WO00619,T0434,P016,25,HVAC,high,resolved,Strange burning smell coming from air vents,2025-03-21 19:00,2025-03-23 15:06,44.1,V011,HVAC,emergency,0.99,true,false
WO00620,T0233,P040,164,HVAC,medium,resolved,"HVAC filter clogged, air quality seems poor",2025-04-24 16:00,2025-05-02 22:45,198.8,V006,HVAC,low,0.96,true,false
WO00621,T0194,P003,16,HVAC,emergency,resolved,AC unit leaking water onto the floor,2025-05-13 19:00,2025-05-14 05:55,10.9,V020,HVAC,medium,0.95,true,false
WO00622,T0372,P014,114,general,low,resolved,"Carpet edge pulling up near entryway, tripping hazard",2024-11-29 19:00,2024-12-15 06:27,371.5,V022,general,high,0.9,true,false
WO00623,T0385,P007,155,electrical,medium,resolved,Dryer outlet not providing power,2025-02-11 09:00,2025-02-20 00:12,207.2,V007,electrical,medium,0.95,true,true
WO00624,T0038,P021,59,electrical,low,open,Smoke detector chirping every 30 seconds,2024-12-13 13:00,,,,electrical,high,0.98,true,false
WO00625,T0154,P040,55,electrical,emergency,resolved,Outlet in kitchen sparks when plugging in appliances,2024-09-19 13:00,2024-09-20 08:08,19.1,V007,electrical,emergency,0.99,true,true
WO00626,T0231,P025,7,HVAC,medium,in-progress,AC not cooling below 78 even on max setting,2024-08-12 07:00,,,V011,HVAC,medium,0.9,true,true
WO00627,T0463,P016,43,general,high,resolved,Garage door opener stopped responding to remote,2024-12-08 10:00,2024-12-10 19:21,57.4,V022,general,medium,0.85,true,false
WO00628,T0492,P029,38,plumbing,high,open,"Toilet won't stop running, sounds like it's constantly refilling",2024-10-30 12:00,,,,plumbing,medium,0.95,true,false
WO00629,T0028,P023,7,electrical,medium,resolved,Smoke detector chirping every 30 seconds,2024-07-10 16:00,2024-07-15 17:23,121.4,V030,electrical,high,0.98,true,false
WO00630,T0021,P045,61,general,emergency,in-progress,"Bedroom closet door won't close, keeps swinging open",2025-02-15 09:00,,,V005,general,low,0.95,true,false
WO00631,T0052,P018,81,HVAC,medium,resolved,"AC unit making grinding noise, unit is 85 degrees",2024-06-13 15:00,2024-06-18 03:44,108.7,V020,HVAC,high,0.95,true,false
WO00632,T0191,P022,59,plumbing,medium,in-progress,Water stain appearing on ceiling — possible leak from unit above,2025-01-22 12:00,,,V028,plumbing,high,0.95,true,false
WO00633,T0168,P031,16,electrical,medium,resolved,Light fixture in bathroom buzzing loudly,2024-08-03 14:00,2024-08-11 21:25,199.4,V030,electrical,medium,0.9,true,true
WO00634,T0391,P045,59,plumbing,medium,resolved,Water stain appearing on ceiling — possible leak from unit above,2025-02-15 08:00,2025-02-25 07:46,239.8,V003,plumbing,high,0.95,true,false
WO00635,T0478,P007,177,general,medium,resolved,"Bedroom closet door won't close, keeps swinging open",2024-08-13 09:00,2024-08-21 17:02,200.0,V016,general,low,0.95,true,false
WO00636,T0048,P046,13,general,high,in-progress,"Front door lock sticking, key requires extreme force",2024-11-03 07:00,,,V016,general,high,0.95,true,true
WO00637,T0100,P012,12,general,medium,resolved,"Patio door off track, won't slide properly",2025-01-05 15:00,2025-01-12 14:27,167.5,V016,general,medium,0.9,true,true
WO00638,T0001,P045,42,plumbing,high,open,"Bathtub faucet handle broken off, can't turn water off",2024-07-04 10:00,,,,plumbing,emergency,0.98,true,false
WO00639,T0240,P022,27,HVAC,low,resolved,"Heater blowing cold air, thermostat set to 72",2025-05-09 14:00,2025-05-27 22:43,440.7,V013,HVAC,high,0.95,true,false
WO00640,T0316,P038,42,electrical,low,resolved,Flickering lights throughout the apartment,2025-03-23 15:00,2025-04-07 07:06,352.1,V008,electrical,high,0.95,true,false
WO00641,T0324,P039,18,electrical,medium,resolved,Light fixture in bathroom buzzing loudly,2025-02-22 17:00,2025-02-27 15:51,118.9,V007,electrical,medium,0.95,true,true
WO00642,T0116,P018,94,plumbing,medium,in-progress,"Dishwasher not draining, standing water at the bottom",2024-11-01 14:00,,,V023,plumbing,medium,0.9,true,true
WO00643,T0027,P047,13,electrical,low,in-progress,"Two light switches not working, bulbs already replaced",2025-03-12 10:00,,,V007,electrical,medium,0.95,true,false
WO00644,T0451,P005,80,HVAC,medium,in-progress,"Heater blowing cold air, thermostat set to 72",2025-05-24 15:00,,,V020,HVAC,high,0.98,true,false
WO00645,T0186,P031,75,general,medium,resolved,Mold spots appearing on bathroom ceiling near vent,2024-11-01 08:00,2024-11-06 00:44,112.7,V022,general,high,0.85,true,false
WO00646,T0486,P002,13,plumbing,low,resolved,"Kitchen faucet dripping nonstop, water pooling under the sink",2025-01-10 13:00,2025-01-28 22:51,441.9,V003,plumbing,high,0.95,true,false
WO00647,T0213,P012,113,general,low,in-progress,Mold spots appearing on bathroom ceiling near vent,2024-07-31 11:00,,,V016,general,high,0.85,true,false
WO00648,T0250,P005,36,general,low,resolved,"Hole in drywall in hallway, about the size of a fist",2024-12-25 13:00,2025-01-13 10:24,453.4,V021,general,low,0.95,true,true
WO00649,T0125,P038,55,HVAC,medium,resolved,Vents blowing hot air when AC is set to cool,2024-12-10 20:00,2024-12-14 09:55,85.9,V006,HVAC,high,0.98,true,false
WO00650,T0043,P021,80,plumbing,high,resolved,"Toilet won't stop running, sounds like it's constantly refilling",2025-05-24 17:00,2025-05-26 03:56,34.9,V001,plumbing,medium,0.9,true,false
WO00651,T0002,P021,42,general,high,open,Mold spots appearing on bathroom ceiling near vent,2025-05-14 17:00,,,,general,high,0.85,true,true
WO00652,T0471,P022,135,electrical,medium,open,"Two light switches not working, bulbs already replaced",2024-11-06 12:00,,,,electrical,medium,0.95,true,true
WO00653,T0052,P018,81,plumbing,low,open,"Kitchen faucet dripping nonstop, water pooling under the sink",2025-04-11 07:00,,,,plumbing,high,0.95,true,false
WO00654,T0421,P012,81,HVAC,low,resolved,AC unit leaking water onto the floor,2024-07-26 11:00,2024-08-10 18:22,367.4,V020,HVAC,high,0.95,true,false
WO00655,T0429,P032,76,plumbing,low,in-progress,"Toilet won't stop running, sounds like it's constantly refilling",2025-01-23 16:00,,,V017,plumbing,medium,0.9,true,false
WO00656,T0081,P032,75,plumbing,medium,in-progress,"Pipe under bathroom vanity is leaking, cabinet floor is wet",2024-06-17 13:00,,,V017,plumbing,high,0.98,true,false
WO00657,T0341,P040,158,HVAC,medium,resolved,Strange burning smell coming from air vents,2025-02-16 11:00,2025-02-21 12:20,121.3,V018,HVAC,emergency,0.99,true,false
WO00658,T0215,P025,53,HVAC,low,resolved,Strange burning smell coming from air vents,2024-09-16 10:00,2024-09-29 20:59,323.0,V011,HVAC,emergency,0.99,true,false
WO00659,T0019,P029,171,plumbing,emergency,resolved,"Shower drain completely clogged, water backing up",2024-07-26 14:00,2024-07-26 19:07,5.1,V001,plumbing,high,0.95,true,false
WO00660,T0145,P012,126,electrical,medium,resolved,"Exterior outlet has no power, GFCI keeps tripping",2025-01-09 13:00,2025-01-13 09:35,92.6,V008,electrical,medium,0.95,true,true
WO00661,T0480,P032,61,HVAC,low,resolved,Strange burning smell coming from air vents,2024-08-20 13:00,2024-08-30 05:20,232.3,V006,HVAC,emergency,0.95,true,false
WO00662,T0026,P007,25,plumbing,low,resolved,Low water pressure throughout entire unit,2024-09-04 20:00,2024-09-18 19:11,335.2,V023,plumbing,medium,0.85,true,false
WO00663,T0402,P032,56,electrical,medium,resolved,Smoke detector chirping every 30 seconds,2025-05-04 12:00,2025-05-14 04:57,233.0,V007,electrical,low,0.9,true,false
WO00664,T0004,P035,14,HVAC,low,resolved,AC unit leaking water onto the floor,2024-11-19 09:00,2024-11-26 23:07,182.1,V011,HVAC,medium,0.9,true,false
WO00665,T0123,P006,27,general,low,resolved,"Patio door off track, won't slide properly",2024-12-31 07:00,2025-01-18 02:00,427.0,V021,general,low,0.95,true,true
WO00666,T0365,P010,57,electrical,low,resolved,Outlet in kitchen sparks when plugging in appliances,2024-07-24 14:00,2024-08-11 09:14,427.2,V007,electrical,emergency,0.98,true,false
WO00667,T0109,P038,48,HVAC,medium,resolved,Loud banging noise every time heat kicks on,2024-10-19 15:00,2024-10-25 08:38,137.6,V020,HVAC,medium,0.85,true,true
WO00668,T0303,P044,3,HVAC,medium,resolved,"AC unit making grinding noise, unit is 85 degrees",2025-01-19 18:00,2025-01-26 21:17,171.3,V013,HVAC,high,0.92,true,false
WO00669,T0276,P037,150,general,emergency,in-progress,"Cabinet hinge in kitchen broken, door hanging loose",2025-03-29 17:00,,,V005,general,low,0.95,true,false
WO00670,T0243,P046,29,general,low,resolved,"Intercom/doorbell not working, can't hear buzzer",2025-03-20 10:00,2025-04-09 08:09,478.2,V016,electrical,low,0.8,false,true
WO00671,T0231,P025,7,electrical,medium,resolved,Outlet in kitchen sparks when plugging in appliances,2024-09-26 17:00,2024-10-06 00:56,223.9,V008,electrical,emergency,0.98,true,false
WO00672,T0203,P032,113,electrical,emergency,in-progress,"Power went out in half the unit, breaker won't reset",2025-01-17 10:00,,,V030,electrical,high,0.95,true,false
WO00673,T0002,P021,42,general,emergency,open,"Bedroom closet door won't close, keeps swinging open",2025-03-02 20:00,,,,general,low,0.95,true,false
WO00674,T0461,P032,55,general,emergency,resolved,"Bedroom closet door won't close, keeps swinging open",2025-04-04 17:00,2025-04-04 20:30,3.5,V016,general,low,0.95,true,false
WO00675,T0274,P007,10,electrical,low,resolved,Smoke detector chirping every 30 seconds,2025-03-15 18:00,2025-03-27 08:24,278.4,V007,electrical,low,0.9,true,true
WO00676,T0008,P007,92,general,emergency,resolved,Garage door opener stopped responding to remote,2024-06-11 08:00,2024-06-11 13:12,5.2,V021,general,low,0.85,true,false
WO00677,T0087,P012,13,electrical,medium,resolved,Smoke detector chirping every 30 seconds,2024-09-13 18:00,2024-09-17 21:32,99.5,V002,electrical,low,0.9,true,false
WO00678,T0392,P014,74,electrical,medium,resolved,Dryer outlet not providing power,2025-04-24 08:00,2025-04-27 20:48,84.8,V007,electrical,medium,0.9,true,true
WO00679,T0448,P040,149,plumbing,low,open,"Hot water heater making popping sounds, no hot water",2024-07-04 19:00,,,,plumbing,high,0.92,true,false
WO00680,T0395,P021,110,electrical,low,open,"Exterior outlet has no power, GFCI keeps tripping",2024-11-20 08:00,,,,electrical,medium,0.9,true,false
WO00681,T0257,P029,84,general,medium,resolved,"Intercom/doorbell not working, can't hear buzzer",2024-10-21 19:00,2024-10-25 08:59,86.0,V005,electrical,low,0.95,false,false
WO00682,T0181,P009,16,HVAC,medium,in-progress,"Furnace won't ignite, no heat in unit",2024-06-10 16:00,,,V006,HVAC,emergency,0.98,true,false
WO00683,T0033,P007,69,HVAC,high,in-progress,Loud banging noise every time heat kicks on,2024-09-08 14:00,,,V013,HVAC,high,0.92,true,true
WO00684,T0016,P038,94,electrical,low,resolved,Smoke detector chirping every 30 seconds,2024-07-24 19:00,2024-08-07 23:10,340.2,V030,electrical,medium,0.96,true,false
WO00685,T0109,P038,48,HVAC,high,resolved,Vents blowing hot air when AC is set to cool,2025-05-24 08:00,2025-05-28 06:16,94.3,V011,HVAC,high,0.95,true,true
WO00686,T0428,P038,80,general,medium,resolved,Mold spots appearing on bathroom ceiling near vent,2025-04-25 12:00,2025-04-29 21:27,105.5,V005,general,medium,0.88,true,true
WO00687,T0019,P029,171,general,high,resolved,"Front door lock sticking, key requires extreme force",2025-05-07 12:00,2025-05-10 10:42,70.7,V022,general,medium,0.94,true,false
WO00688,T0384,P040,15,plumbing,low,resolved,"Toilet won't stop running, sounds like it's constantly refilling",2024-08-08 20:00,2024-08-17 04:14,200.2,V028,plumbing,low,0.97,true,true
WO00689,T0288,P025,61,plumbing,medium,resolved,"Dishwasher not draining, standing water at the bottom",2025-03-10 18:00,2025-03-19 01:56,199.9,V001,plumbing,medium,0.93,true,true
WO00690,T0320,P036,6,plumbing,low,resolved,"Hot water heater making popping sounds, no hot water",2024-11-07 15:00,2024-11-26 03:14,444.2,V017,plumbing,high,0.96,true,false
WO00691,T0020,P022,66,plumbing,emergency,in-progress,"Shower drain completely clogged, water backing up",2025-05-23 11:00,,,V023,plumbing,high,0.98,true,false
WO00692,T0079,P012,48,electrical,medium,resolved,Circuit breaker keeps tripping for bedroom circuit,2025-02-27 12:00,2025-03-03 00:37,84.6,V008,electrical,high,0.97,true,false
WO00693,T0379,P050,28,electrical,medium,open,Flickering lights throughout the apartment,2024-11-15 09:00,,,,electrical,high,0.95,true,false
WO00694,T0365,P010,57,plumbing,low,resolved,Water stain appearing on ceiling — possible leak from unit above,2025-04-03 20:00,2025-04-12 05:38,201.6,V001,plumbing,high,0.94,true,false
WO00695,T0049,P012,164,electrical,low,in-progress,Circuit breaker keeps tripping for bedroom circuit,2024-09-02 16:00,,,V007,electrical,high,0.97,true,false
WO00696,T0299,P012,11,plumbing,high,in-progress,"Dishwasher not draining, standing water at the bottom",2025-03-05 20:00,,,V001,plumbing,medium,0.93,true,false
WO00697,T0416,P007,165,electrical,low,resolved,Circuit breaker keeps tripping for bedroom circuit,2024-12-24 19:00,2025-01-13 19:44,480.7,V008,electrical,high,0.97,true,false
WO00698,T0471,P022,135,general,high,in-progress,"Front door lock sticking, key requires extreme force",2024-08-10 08:00,,,V005,general,medium,0.94,true,false
WO00699,T0486,P002,13,plumbing,high,resolved,"Bathtub faucet handle broken off, can't turn water off",2024-12-02 13:00,2024-12-05 04:01,63.0,V017,plumbing,emergency,0.99,true,false
WO00700,T0082,P014,72,HVAC,high,in-progress,Vents blowing hot air when AC is set to cool,2025-05-25 20:00,,,V006,HVAC,high,0.95,true,true
WO00701,T0323,P014,31,plumbing,medium,resolved,"Shower drain completely clogged, water backing up",2024-08-26 18:00,2024-09-05 10:49,232.8,V028,plumbing,high,0.95,true,false
WO00702,T0123,P006,27,general,emergency,resolved,"Bedroom closet door won't close, keeps swinging open",2025-03-23 19:00,2025-03-24 13:09,18.2,V016,general,low,0.98,true,false
WO00703,T0253,P013,34,HVAC,emergency,in-progress,"Thermostat unresponsive, screen is blank",2024-09-07 20:00,,,V020,HVAC,medium,0.92,true,false
WO00704,T0150,P027,13,electrical,high,resolved,Smoke detector chirping every 30 seconds,2025-03-24 11:00,2025-03-26 06:23,43.4,V002,electrical,high,0.96,true,true
WO00705,T0362,P001,3,general,high,resolved,"Front door lock sticking, key requires extreme force",2024-07-29 13:00,2024-08-01 07:31,66.5,V021,general,medium,0.94,true,false
WO00706,T0354,P014,4,HVAC,medium,resolved,Vents blowing hot air when AC is set to cool,2024-08-01 17:00,2024-08-06 10:47,113.8,V006,HVAC,high,0.97,true,false
WO00707,T0119,P044,22,HVAC,medium,resolved,"Thermostat unresponsive, screen is blank",2024-08-08 10:00,2024-08-13 08:27,118.5,V006,HVAC,medium,0.92,true,true
WO00708,T0295,P043,29,plumbing,medium,resolved,"Kitchen faucet dripping nonstop, water pooling under the sink",2024-12-29 08:00,2025-01-03 17:20,129.3,V023,plumbing,high,0.95,true,false
WO00709,T0074,P049,19,HVAC,medium,resolved,Strange burning smell coming from air vents,2024-11-14 13:00,2024-11-20 04:37,135.6,V020,HVAC,emergency,0.98,true,false
WO00710,T0349,P009,92,electrical,medium,in-progress,"Two light switches not working, bulbs already replaced",2024-09-14 13:00,,,V008,electrical,medium,0.95,true,true
WO00711,T0097,P026,9,HVAC,medium,resolved,"Thermostat unresponsive, screen is blank",2024-06-26 11:00,2024-06-29 11:30,72.5,V018,HVAC,medium,0.92,true,true
WO00712,T0082,P014,72,plumbing,low,resolved,"Bathtub faucet handle broken off, can't turn water off",2025-02-24 11:00,2025-03-06 07:29,236.5,V001,plumbing,emergency,0.98,true,false
WO00713,T0452,P040,27,electrical,high,in-progress,Smoke detector chirping every 30 seconds,2024-06-08 14:00,,,V002,electrical,high,0.96,true,true
WO00714,T0301,P040,174,general,medium,resolved,Garage door opener stopped responding to remote,2024-09-11 18:00,2024-09-20 19:07,217.1,V022,general,medium,0.93,true,true
WO00715,T0494,P012,92,general,high,resolved,Garage door opener stopped responding to remote,2024-08-08 07:00,2024-08-11 15:13,80.2,V022,general,medium,0.93,true,false
WO00716,T0197,P050,24,HVAC,low,resolved,"HVAC filter clogged, air quality seems poor",2024-07-27 11:00,2024-08-13 13:20,410.3,V020,HVAC,low,0.95,true,true
